state,month,length
MD,5,3.0250000000000004
MD,6,5.602857142857142
MD,7,1.33
MD,8,3.5
MD,9,6.486
MD,10,0.0
MD,11,4.2125
MD,12,0.0
MI,1,2.575
MI,2,2.575
MI,3,8.106
MI,4,2.16
MI,5,3.0
MI,6,4.4025
MI,7,1.7944444444444445
MI,8,3.0529166666666665
MI,9,3.31
MI,10,0.595
MI,11,1.82
MI,12,1.96
MN,1,0.0
MN,2,0.0
MN,3,10.0
MN,4,0.0
MN,5,1.272439024390244
MN,6,1.9771153846153848
MN,7,3.26735632183908
MN,8,2.8813793103448275
MN,9,4.630434782608695
MN,10,1.1466666666666667
MN,11,0.0
MN,12,3.6525
MO,1,4.001428571428571
MO,2,3.25
MO,3,6.2325531914893615
MO,4,3.5110606060606058
MO,5,3.3197590361445783
MO,6,2.4734615384615384
MO,7,1.55875
MO,8,1.939
MO,9,2.4225
MO,10,6.8726666666666665
MO,11,0.9333333333333332
MO,12,4.307619047619048
MS,1,5.845106382978723
MS,2,6.923636363636363
MS,3,4.13825
MS,4,6.0312658227848095
MS,5,6.72375
MS,6,1.6108333333333331
MS,7,1.6799999999999995
MS,8,2.0161290322580645
MS,9,0.37
MS,10,1.874
MS,11,4.901555555555555
MS,12,7.607111111111111
MT,1,0.0
MT,2,0.0
MT,3,0.0
MT,4,0.0
MT,5,0.85
MT,6,3.537692307692308
MT,7,0.475
MT,8,0.75
MT,9,0.0
MT,10,0.0
MT,11,0.0
MT,12,0.0
NC,1,4.810526315789474
NC,2,4.810526315789474
NC,3,2.723333333333333
NC,4,4.989142857142857
NC,5,4.872272727272727
NC,6,0.6576923076923078
NC,7,1.184
NC,8,2.2605263157894737
NC,9,2.489090909090909
NC,10,4.729411764705882
NC,11,1.604
NC,12,0.4566666666666667
ND,1,0.0
ND,2,0.0
ND,3,0.0
ND,4,0.0
ND,5,1.385
ND,6,2.0444117647058824
ND,7,2.2313043478260868
ND,8,2.741111111111111
ND,9,2.3120000000000003
ND,10,2.76
ND,11,0.0
ND,12,0.0
NE,1,0.0
NE,2,0.0
NE,3,0.0
NE,4,0.7242857142857143
NE,5,1.6893548387096773
NE,6,2.456470588235294
NE,7,0.977777777777778
NE,8,0.8371999999999999
NE,9,0.4025
NE,10,0.28
NE,11,2.84
NE,12,6.342903225806452
NM,1,0.24
NM,2,0.24
NM,3,6.284
NM,4,0.46
NM,5,2.2990909090909093
NM,6,1.479
NM,7,0.406
NM,8,0.526
NM,9,2.15125
NM,10,1.7
NM,11,3.245
NM,12,4.79
NY,1,0.0
NY,2,0.0
NY,3,0.0
NY,4,1.395
NY,5,2.6975
NY,6,0.9728571428571428
NY,7,2.7925
NY,8,0.8550000000000001
NY,9,1.215
NY,10,1.3214285714285714
NY,11,4.911428571428572
NY,12,0.0
OH,1,4.6466666666666665
OH,2,5.3
OH,3,2.670666666666667
OH,4,4.031428571428571
OH,5,3.068947368421053
OH,6,3.8092
OH,7,2.5
OH,8,2.3455555555555554
OH,9,6.180000000000001
OH,10,1.748
OH,11,2.230625
OH,12,0.8150000000000001
OK,1,3.55
OK,2,3.9584210526315786
OK,3,4.366842105263157
OK,4,4.638684210526316
OK,5,3.94042194092827
OK,6,1.266875
OK,7,1.975
OK,8,4.050000000000001
OK,9,3.9767346938775514
OK,10,3.903469387755102
OK,11,7.484375
OK,12,2.4240000000000004
PA,1,2.8
PA,2,4.384
PA,3,3.9403333333333332
PA,4,3.4966666666666666
PA,5,1.329375
PA,6,1.6978260869565216
PA,7,1.535
PA,8,3.265882352941176
PA,9,2.964444444444444
PA,10,2.477241379310345
PA,11,2.74
PA,12,2.74
SC,1,2.8166666666666664
SC,2,4.398333333333333
SC,3,2.96375
SC,4,4.961935483870968
SC,5,6.439444444444444
SC,6,0.62
SC,7,0.71
SC,8,2.104285714285714
SC,9,1.6999999999999995
SC,10,4.922083333333333
SC,11,16.44
SC,12,0.26
SD,1,0.0
SD,2,0.0
SD,3,0.0
SD,4,0.0
SD,5,3.2583333333333333
SD,6,2.1895
SD,7,1.6212903225806452
SD,8,0.9916666666666668
SD,9,1.1023076923076922
SD,10,0.5771428571428572
SD,11,0.0
SD,12,0.0
TN,1,1.6960000000000002
TN,2,5.009090909090909
TN,3,6.319487179487179
TN,4,4.089230769230769
TN,5,3.008571428571429
TN,6,3.0122222222222224
TN,7,3.1218181818181816
TN,8,1.2933333333333334
TN,9,1.45
TN,10,4.555
TN,11,7.4094444444444445
TN,12,10.546111111111111
TX,1,2.4334210526315787
TX,2,2.6611764705882357
TX,3,3.269277108433735
TX,4,4.507872340425532
TX,5,2.8978827361563515
TX,6,1.2262962962962962
TX,7,0.9592857142857144
TX,8,1.2644827586206897
TX,9,1.2766666666666666
TX,10,2.3686792452830185
TX,11,6.915555555555556
TX,12,2.848666666666667
VA,1,0.41
VA,2,8.077
VA,3,8.453333333333333
VA,4,4.081333333333333
VA,5,2.6826666666666665
VA,6,3.235
VA,7,1.958
VA,8,4.8244444444444445
VA,9,3.161538461538461
VA,10,1.8093333333333332
VA,11,1.74
VA,12,1.25
WI,1,0.0
WI,2,0.0
WI,3,4.41
WI,4,0.44
WI,5,11.136666666666668
WI,6,2.720857142857142
WI,7,2.575873015873016
WI,8,2.796521739130435
WI,9,4.524
WI,10,7.665
WI,11,0.0
WI,12,3.4277777777777776
WY,1,0.0
WY,2,0.0
WY,3,0.0
WY,4,0.1
WY,5,3.972857142857143
WY,6,3.713214285714286
WY,7,1.9118181818181816
WY,8,0.8466666666666667
WY,9,10.77
WY,10,0.0
WY,11,0.0
WY,12,0.0
